ROHYPNOL 1MG 30 CLAQ,PRODUTOS ROCHE QUÍMICOS E,,,,,,,
(FLUNITRAZEPAM),FARMACÊUTICOS S.A,RJ0423,160,,90548,6095/2011,05/09/2011,ITAPEVI-SP
"",,,,,,,,Itinerário entre a
"",,,,,,,,Transportadora Rapidão
"",,RJ0410,1,,54888,Declaração de Sinistro,05/10/2011,
ROHYPNOL 1MG 30 CLAQ FH,,,,,,,,Cometa - Recife - PE ao site
(FLUNITRAZEPAM),PRODUTOS ROCHE,,,,,,,de Distribuição Roche - GO
ROPI 10 MG/ML SOL INJ - 5 EST X 1,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,,
AMP X 20 ML,FARMACÊUTICOS LTDA.,11031627,7 cxs,,0443995,447/2011,03/05/2011,Registro - SP
"ROPI 7,5 MG/ML SOL INJ - 5 EST X 1",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,,
AMP X 20 ML,FARMACÊUTICOS LTDA.,10096499,6 cxs,,0443995,447/2011,03/05/2011,Registro - SP
"",SANOFI-AVENTIS FARMACÊUTICA,,,,,,,
"ROVAMICINA 1,5MUI 16COMPR.",LTDA,10N0030,750,,64869,68/2011,20/04/2011,São Paulo - SP
"",SANOFI-AVENTIS FARMACÊUTICA,,,,,,,
"ROVAMICINA 1,5MUI 16COMPR.",LTDA,10N0030,750,,64869,68/2011,19/04/2011,Carandiru - SP
ROXETIN 20MG,CRISTÁLIA PROD. QUIM. FARMAC,11031951,154,,495871,01926/1918/2011,18/08/2011,S. J. MERITI - RJ
SABOFEN 100g,GEYER MEDICAMENTOS S.A,10.025.05,100,,39883,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
SABOFEN 50g,GEYER MEDICAMENTOS S.A,10.024.05,150,,39883,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
SABOFEN 50g,GEYER MEDICAMENTOS S.A,10.024.05,150,,39881,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
"",MEDLEY INDÚSTRIA,,,,,,,
SALDER S SABONETE 42G (AG),FARMACEUTICA LTDA,11050183,36,,41251,1647/2011,01/09/2011,Brasilandia-SP
"",,,,,,,,R MANUEL ANTONIO
"",SANOFI-AVENTIS COMERCIAL E,,,,,,,"FONSECA, 3-BRASILANDIA -"
SALDER S SABONETE 42G (AG),LOGISTICA LTDA,11050183,36,,41251,1649/2011,01/09/2011,SP
"",SANTISA - LABORATÓRIO,,,,,,,
SANTIAZEPAM 5MG,FARMACÊUTICO,30302811,30 caixas Com 1000 comprimidos,,4823,11I0319051836,18/06/20011,XEXEU -PE
Medicamento,Empresa,No lote,"Quantidade Roubada/Furtada/Extraviada",No Nota Fiscal,No Boletim de Ocorrência,"Data do rouboou extravio",Local do roubo ou extravio
SELENE 21CPR,Eurofarma Laboratórios Ltda,214102,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
SELENE 63CPR,Eurofarma Laboratórios Ltda,214981,280,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
SEROPHENE TAB 50MG (30) - BRA,MERCK S.A.,A95A,24,183151,308-4279/2011,03/10/2011,"AV. JOAO PESSOA -FORTALEZA"
"SERTRALINA CLOR  50MG 28CPR(C1)",Eurofarma Laboratórios Ltda,214906,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"SEVOCRIS 100% INALANTE - 1 FR X250 ML","CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",11021344,50 cxs,0443976,447/2011,03/05/2011,Registro - SP
"SEVOFLURANO 250ML CT C/ 1FR(LISTA C1)*","AGILA MARKETING E DISTRIB. DEPROD. HOSP. LTDA",6845,21,5135,13614603,04/11/2011,CARIACICA - ES
"SEVOFLURANO 250ML CT C/ 1FR(LISTA C1)*","AGILA MARKETING E DISTRIB. DEPROD. HOSP. LTDA",6879,29,5135,13614603,04/11/2011,CARIACICA - ES
"SEVOFLURANO 250ML CT C/ 1FR(LISTA C1)*","AGILA MARKETING E DISTRIB. DEPROD. HOSP. LTDA",6845,40,5157,13614603,04/11/2011,CARIACICA - ES
SIMETICONA GT 15ML,Eurofarma Laboratórios Ltda,215709A,384,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
SINOT 400MG SUS 100ML,Eurofarma Laboratórios Ltda,206507,224,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"SINOT CLAV 400MG+57MG SUS70ML",Eurofarma Laboratórios Ltda,215283,128,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
SINVASCOR 20 MG,LABORATÓRIOS BALDACCI S/A,CH48,100,40274,447/2011,03/05/2011,Registro - SP
SINVASCOR 20 MG,LABORATÓRIOS BALDACCI S/A,CH48,100,40274,447/2011,03/05/2011,Registro - SP
SINVASTACOR 10MG 30FCT BR,SANDOZ DO BRASIL IND. FARM.,BV8101,400,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
SINVASTACOR 20MG 30FCT BR,SANDOZ DO BRASIL IND. FARM.,BV2000,800,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
SINVASTACOR 20MG 30FCT BR,SANDOZ DO BRASIL IND. FARM.,BV3028,30,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
SINVASTACOR 40MG 10FCT BR,SANDOZ DO BRASIL IND. FARM.,BR1060,100,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
SINVASTACOR 40MG 30FCT BR,SANDOZ DO BRASIL IND. FARM.,BW4120,10,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",,,,"51652, 51879,",,,
"",,,,"51878, 51877,",,,
"",,,,"51993, 51997,",,,
"",,,,"51974, 51972,",,,
SINVASTACOR 40MG 30FCT BR,SANDOZ DO BRASIL IND. FARM.,BW4120,10,52059,02898/1918/2011,29/11/2011,MACAÉ - RJ
"",,,,,,,Rua Refinaria Gabriel
"",CIMED Indústria de Medicamentos,,,,,,"Passos, 437,"
"",,163425,12,,2011-1380465,21/10/2011,
"",Ltda,,,,,,Petrolândia –
SINVASTAMED 20 MG 2 X 15,,,,,,,Contagem/MG
SIST CONT OPTIUM XCEED KIT,,,,,,,
SENSOR,ABBOTT DIABETES CARE,09P152D,10,62272,00348/1918/2011,04/02/2011,Duque de Caxias - RJ
SLOW K 600MG 20 DG,NOVARTIS BIOCIÊNCIAS S/A,U1016,400,271421,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
SNIF 3% SPRAY FR 45ML,Eurofarma Laboratórios Ltda,290,28,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
SNIF SC SPRAY 50ML,Eurofarma Laboratórios Ltda,213357A,70,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
SNIF SOL NAS 30ML,Eurofarma Laboratórios Ltda,209201B,96,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
SONDA P/ ALIMENTAÇÃO ENTERAL,HALEX ISTAR INDÚSTRIA,,,,,,
120 CM,FARMACÊUTICA,110458502,200,79822,3000/2011,01/06/2011,Marginal Tietê - SP
SONDA PARA ALIMENTAÇÃO,HALEX ISTAR INDÚSTRIA,,,,,,
ENTERAL 105 CM,FARMACÊUTICA,101256983,30,80150,3000/2011,01/06/2011,Marginal Tietê - SP
SONDA PARA ALIMENTAÇÃO,HALEX ISTAR INDÚSTRIA,,,,,,
ENTERAL 120 CM,FARMACÊUTICA,110458598,100,80150,3000/2011,01/06/2011,Marginal Tietê - SP
"",WYETH INDÚSTRIA,,,,,,
SORCAL 30G X 60 ENV,FARMACÊUTICA LTDA,69526,1,29395,2208/2011,14/04/2011,Itapevi - SP
"",FRESENIUS HEMOCARE BRASIL,,,,,,
SORO DE COOMBS,LTDA,71EB07EC,500,16531,3959/2011,26/05/2011,São Paulo - SP
"",FRESENIUS HEMOCARE BRASIL,,,,,,
SORO DE COOMBS,LTDA,71EB07EC,20,16506,3959/2011,26/05/2011,São Paulo - SP
"",FRESENIUS HEMOCARE BRASIL,,,,,,
SOROCLONE,LTDA,71EB25EE,30,16506,3959/2011,26/05/2011,São Paulo - SP
"",FRESENIUS HEMOCARE BRASIL,,,,,,
SOROCLONE,LTDA,71EB25EF,40,16506,3959/2011,26/05/2011,São Paulo - SP
"",FRESENIUS HEMOCARE BRASIL,,,,,,
SOROCLONE,LTDA,71DI11EC,100,16506,3959/2011,26/05/2011,São Paulo - SP
"",LABORATORIOS SERVIER DO,,,,,,
STABLON,BRASIL LTDA,3000157,12,18293,6490/2010,08/11/2010,São Paulo - SP
STALEVO,NOVARTIS BIOCIÊNCIAS S/A,1372790,30,268435,508/2011,13/09/2011,GOITUBA-GO
STALEVO,NOVARTIS BIOCIÊNCIAS S/A,1358348,34,268435,508/2011,13/09/2011,GOITUBA-GO
STALEVO,NOVARTIS BIOCIÊNCIAS S/A,1365265,10,268837,508/2011,13/09/2011,GOITUBA-GO
STIMULANCE 10ENV 5G,Eurofarma Laboratórios Ltda,1086810868,64,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",WYETH INDUSTRIA,,,,,,
STRESSTABS 30 COMP,,E86767,72,23031,5911/2011,19/09/2011,ITAPEVI - SP
"",FARMACEUTICA LTDA,,,,,,
"",WYETH INDUSTRIA,,,,,,
STRESSTABS 30 COMP,,E72184,144,25251,"5,82011E+11",29/11/2011,DECARGA - BA
"",FARMACEUTICA LTDA,,,,,,
STRESSTABS 30 COMP,WYETH IND. FARMACÊUTICA,E86767,72,23031,5911/2011,19/09/2011,ITAPEVI - SP
"",,,,,,,CONCEIÇÃO DO JACUIPE -
STRESSTABS 30 COMP,WYETH IND. FARMACÊUTICA,E72184,144,25251,582011000380,29/11/2011,BA
Medicamento,Empresa,No lote,"Quantidade Roubada/Furtada/Extraviada",No Nota Fiscal,No Boletim de Ocorrência,"Data do rouboou extravio",Local do roubo ou extravio
STRESSTABS 600 30 Comp.,"WYETH INDÚSTRIAFARMACÊUTICA LTDA",E64542,144,18052,89368,14/02/2011,Governador Valadares - MG
STRESSTABS 600 30 CP,"WYETH INDÚSTRIAFARMACÊUTICA LTDA",E64542,72,18044,89368,14/02/2011,Governador Valadares - MG
STRESSTABS 600 30 CP,"WYETH INDÚSTRIAFARMACÊUTICA LTDA",E64542,216,18051,89368,14/02/2011,Governador Valadares - MG
STRESSTABS 600 30 CP,"WYETH INDÚSTRIAFARMACÊUTICA LTDA",E64542,216,18055,89368,14/02/2011,Governador Valadares - MG
"SULBACTAM+AMPIC 3,0G INJ20FA+DIL AMP PL","EUROFARMA LABORATÓRIOSLTDA.",209391A,1,25582,807/2011,18/10/2011,"Rodovia Arnaldo JulioMauerberg, 0 - Rural - NovaOdessa / SP"
SULBACTER 2G/1G 30FA S/DIL,"AGILA MARKETING E DISTRIB. DEPROD. HOSP. LTDA",Z911010,60,5348,13614603,04/11/2011,CARIACICA - ES
"SULFA + TRIMETOPRIMA COMP 2 X10","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",4595/10,200,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
SUN 7 BLOQUEADOR SOLAR FPS 30,"CIMED Indústria de MedicamentosLtda",163521,6,,2011-1380465,21/10/2011,"Rua Refinaria GabrielPassos, 437,Petrolândia –Contagem/MG"
SUPREMUS VIT CX 60,"MEDQUÍMICA INDÚSTRIAFARMACÊUTICA LTDA",1003/11,110,28202,308-2064/2011,28/04/2011,Fortaleza - CE
SYNTHROID 75 MCG,"ABBOTT LABORATORIOS DOBRASIL LTDA",10095A8,,,,,
SYNTHROID 88 MCG,"ABBOTT LABORATORIOS DOBRASIL LTDA",10175A8,,,,,
"","CIMED Indústria de MedicamentosLtda",163521,6,,2011-1380465,21/10/2011,"Rua Refinaria GabrielPassos, 437,Petrolândia –"
TALCO XÔ XULÉ CANFORADO,,,,,,,Contagem/MG
TAMARIL,"MARJAN INDÚSTRIA E COMÉRCIOLTDA",10083234,25,26672,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
TAMISA 20MCG 21CPR,Eurofarma Laboratórios Ltda,208938,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
TAMISA 20MCG 63CPR,Eurofarma Laboratórios Ltda,209485,70,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
TAMISA 30MCG 21CPR,Eurofarma Laboratórios Ltda,209485,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
TAMISA 30MCG 63CPR,Eurofarma Laboratórios Ltda,208324A,70,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"TANOHALO 100% INALANTE - 1 FR100 ML","CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",11010355,20 cxs,0443976,447/2011,03/05/2011,Registro - SP
"TANOHALO 100% INALANTE - 1 FR250 ML","CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",11010359,2 cxs,0443223,447/2011,03/05/2011,Registro - SP
"TARZOCIN 4,5G","WYETH INDÚSTRIAFARMACÊUTICA LTDA",E95624,292,29450,2208/2011,14/04/2011,Itapevi - SP
"TAZPEN 2G/0,25 CX 1FA X 30ML","AGILA MARKETING E DISTRIB. DEPROD. HOSP. LTDA",Y111005,400,5348,13614603,04/11/2011,CARIACICA - ES
"TAZPEN 4G/0,5G CX C/1FA 50ML","AGILA MARKETING E DISTRIB. DEPROD. HOSP. LTDA",7102677,1200,5157,13614603,04/11/2011,CARIACICA - ES
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",AGILA MARKETING E DISTRIB. DE,,,,,,
"TAZPEN 4G/0,5G CX C/1FA 50ML",,Y211089,15000,5190,13614603,04/11/2011,CARIACICA - ES
"",PROD. HOSP. LTDA,,,,,,
"",AGILA MARKETING E DISTRIB. DE,,,,,,
"TAZPEN 4G/0,5G CX C/1FA 50ML",,Y211090,10000,5195,13614603,04/11/2011,CARIACICA - ES
"",PROD. HOSP. LTDA,,,,,,
"",AGILA MARKETING E DISTRIB. DE,,,,,,
"TAZPEN 4G/0,5G CX C/1FA 50ML",,7102676,200,5230,13614603,04/11/2011,CARIACICA - ES
"",PROD. HOSP. LTDA,,,,,,
"",AGILA MARKETING E DISTRIB. DE,,,,,,
"TAZPEN 4G/0,5G CX C/1FA 50ML",,7102677,2100,5348,13614603,04/11/2011,CARIACICA - ES
"",PROD. HOSP. LTDA,,,,,,
"",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
TEGRETARD 200 MG COM 2 BL X 10,FARMACÊUTICOS LTDA.,10129292,31 cxs,0443729,447/2011,03/05/2011,Registro - SP
TEGRETOL CR,NOVARTIS BIOCIÊNCIAS S/A,Z0154,180,268799,508/2011,13/09/2011,GOITUBA-GO
"",MARJAN INDÚSTRIA E COMÉRCIO,,,,,,
TENAG,LTDA,10093439,25,26672,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
"",MARJAN INDÚSTRIA E COMÉRCIO,,,,,,
TENAVIT,LTDA,10114160,25,26672,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
TERRA CORTRIL POMADA TÓPICA,,,,,,,
15G,LABORATÓRIOS PFIZER LTDA.,0 111,,186710,2011/09910.0-000145,,Jabotão dos Guararapes-PE
TERRAMICINA POMADA OFTALMICA,,,,,,,
"3,5 G",LABORATÓRIOS PFIZER LTDA.,1005,,186708,2011/09910.0-000145,27/08/2011,Japaratuba - SE
TERRAMICINA POMADA TOPICA,,,,,,,
15GR,LABORATÓRIOS PFIZER LTDA.,1 004A,,186708,2011/09910.0-000145,27/08/2011,Japaratuba - SE
THIOCTACID 600 MG FR 30 COMP,MERCK S.A.,OL011A,50,168328,4017/2011,19/07/2011,S. Lourenço da Serra - SP
THIOCTACID 600 MG FR 30 COMP,MERCK S.A.,OL011A,10,168352,4017/2011,19/07/2011,S. Lourenço da Serra - SP
"",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
THIOPENTAX,,11053362,4,521943,,28/09/2011,SÃO PAULO - SP
"",FARMACÊUTICOS LTDA.,,,,,,
"",LATINOFARMA INDÚSTRIAS,,,,,,
"TOBRACIN-D 3,5 G",FARMACÊUTICAS LTDA,11.121,12,81.586,2041/2011,20/07/2011,São Paulo/SP
TORANTE SOL OR 100ML,Eurofarma Laboratórios Ltda,205903B,200,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",PPD DO BRASIL SUPORTE À,,,,,,
TRACLEER (BOSENTANA),,DW016W0201,1,,4894/2011,15/12/2011,SÃO PAULO - SP
"",PESQUISA CLÍNICA LTDA,,,,,,
"",PPD DO BRASIL SUPORTE À,,,,,,
TRACLEER (BOSENTANA),,EW029W0101,1,,4894/2011,15/12/2011,SÃO PAULO - SP
"",PESQUISA CLÍNICA LTDA,,,,,,
"",PPD DO BRASIL SUPORTE À,,,,,,
TRACLEER (BOSENTANA),,EW031W0201,1,,4894/2011,15/12/2011,SÃO PAULO - SP
"",PESQUISA CLÍNICA LTDA,,,,,,
TRALEN CREME DERMATOLÓGICO,,,,,,,
1%,LABORATÓRIOS PFIZER LTDA.,1 033B,,186710,2011/09910.0-000145,,Jabotão dos Guararapes-PE
TRAMADON 100 MG COM. REV. 1 BL,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
X 10,FARMACÊUTICOS LTDA.,11010057,155 cxs,0443729,447/2011,03/05/2011,Registro - SP
"",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
TRAMADON 50 MG CAPS - 1 BL X 10,FARMACÊUTICOS LTDA.,11021193,160 cxs,0443729,447/2011,03/05/2011,Registro - SP
TRAMADON 50 MG/ML SOL INJ - 100,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
AMP X 1 ML,FARMACÊUTICOS LTDA.,11020861,50 cxs,0443976,447/2011,03/05/2011,Registro - SP
TRAMADON 50 MG/ML SOL INJ - 100,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
AMP X 2 ML,FARMACÊUTICOS LTDA.,11020930,2 cxs,0443223,447/2011,03/05/2011,Registro - SP
TRAMAL RETARD 100 MG X 10,,,,,,,
COMP,LABORATÓRIOS PFIZER LTDA.,BI0026,,186709,2011/09910.0-000145,27/08/2011,Japaratuba - SE
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,
TRASTUZUMAB 440mg IYOPHILISAT,FARMACÊUTICOS S.A,B3406,4,13535,70/2001,05/01/2011,Jandira - SP
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",FRESENIUS HEMOCARE BRASIL,,,,,,
TRIACEL,LTDA,71EE27C,1,16505,3959/2011,26/05/2011,São Paulo - SP
"",FRESENIUS HEMOCARE BRASIL,,,,,,
TRIACEL,LTDA,71EE27EC,1,16502,3959/2011,26/05/2011,São Paulo - SP
"",FRESENIUS HEMOCARE BRASIL,,,,,,
TRIACEL,LTDA,71EE27EC,1,16451,3959/2011,26/05/2011,São Paulo - SP
"",FRESENIUS HEMOCARE BRASIL,,,,,,
TRIACEL,LTDA,71EE27EC,32,16477,3959/2011,26/05/2011,São Paulo - SP
"",FRESENIUS HEMOCARE BRASIL,,,,,,
TRIACEL,LTDA,71EE27ED,32,16477,3959/2011,26/05/2011,São Paulo - SP
"TRIAXIN 1G 1FA+AMP3,5ML",Eurofarma Laboratórios Ltda,207103B,72,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
TRILEPTAL,NOVARTIS BIOCIÊNCIAS S/A,Z0075,353,268382,508/2011,13/09/2011,GOITUBA-GO
TRILEPTAL 6%,NOVARTIS BIOCIÊNCIAS S/A,H5906,14,268799,508/2011,13/09/2011,GOITUBA-GO
TRIMEDAL 500 MG 24 CE,NOVARTIS BIOCIÊNCIAS S/A,Z0523,650,271421,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
"",MARJAN INDÚSTRIA E COMÉRCIO,,,,,,
TRIVAGEL-N,LTDA,10103834,100,26672,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
TROFODERMIN CREME,,,,,,,
DERMATOLÓGICO30 G,LABORATÓRIOS PFIZER LTDA.,1 063,,186710,2011/09910.0-000145,,Jabotão dos Guararapes-PE
TROK  CR 10G,Eurofarma Laboratórios Ltda,212673A,300,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
TROK  CR 30G,Eurofarma Laboratórios Ltda,212744A,80,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
TROK  POM 10G,Eurofarma Laboratórios Ltda,210571A,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
TROK  POM 30G,Eurofarma Laboratórios Ltda,211391A,80,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
TROK N CR 10G,Eurofarma Laboratórios Ltda,205432B,200,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
TROK N POM 10G,Eurofarma Laboratórios Ltda,211213A,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
TROK N POM 30G,Eurofarma Laboratórios Ltda,210454A,80,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",HALEX ISTAR INDÚSTRIA,,,,,,
TUBO HOSP. SILICONE 3X5 MM,FARMACÊUTICA,110258017,90,80150,3000/2011,01/06/2011,Marginal Tietê - SP
"",HALEX ISTAR INDÚSTRIA,,,,,,
TUBO HOSP. SILICONE 6X12 MM,FARMACÊUTICA,110358313,75,80150,3000/2011,01/06/2011,Marginal Tietê - SP
"",HALEX ISTAR INDÚSTRIA,,,,,,
TUBO HOSP. SILICONE 6X12 MM,FARMACÊUTICA,110458445,75,79822,3000/2011,01/06/2011,Marginal Tietê - SP
"",HALEX ISTAR INDÚSTRIA,,,,,,
TUBO VENT. 1011CH C/ HASTE AÇO,FARMACÊUTICA,110157036,12,80150,3000/2011,01/06/2011,Marginal Tietê - SP
"",HALEX ISTAR INDÚSTRIA,,,,,,
TUBO VENT. 1011SH S/ HASTE AÇO,FARMACÊUTICA,101156619,24,80150,3000/2011,01/06/2011,Marginal Tietê - SP
"",WYETH INDÚSTRIA,,,,,,
TYGACIL INJ 50MG,FARMACÊUTICA LTDA,E21990,100,27631,2011/157942,10/02/2011,São José dos Pinhais - PR
"",,,,,,,VITÓRIA DA CONQUISTA -
"",,1109111,84,40786,1002011022173/11,16/12/2011,
ULTRAFER GTS 15 ML AG,FARMACOQUÍMICA,,,,,,BA
UMCKAN SOL 825 MG 20 ML,FARMOQUÍMICCA S/A,110197,40,38339,002853/11,01/08/2011,Campina Grande - PB
"",CIMED INDÚSTRIA DE,,,,,,
UNALMÊS SOL. INJ. AMP. 1ML,MEDICAMENTOS LTDA,3345/10,150,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
UTROGESTAN 200 MG C/14 CAPS,FARMOQUÍMICCA S/A,1300A,120,38323,002853/11,01/08/2011,Campina Grande - PB
"",MARJAN INDÚSTRIA E COMÉRCIO,,,,,,
VAGI C,LTDA,10083314,100,26672,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
VAL BETAM + CLIOQUINOL + ASSOC,,,,,,,
"",Eurofarma Laboratórios Ltda,,80,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
CR 20G,,205433A,,,,,
"",LABORATORIOS SERVIER DO,,,,,,
VALDOXAN,BRASIL LTDA,3000391,120,18294,6490/2010,08/11/2010,São Paulo - SP
VALERIMED 50 MG COMP VER STR,CIMED INDÚSTRIA DE,,,,,,
2 X 10,MEDICAMENTOS LTDA,1101721,24,159049,970929,30/08/2011,Carté-MG
VALERIMED 50 MG COMP,CIMED INDÚSTRIA DE,,,,,,
REV 2 STR X 10,MEDICAMENTOS LTDA,1101721,8,158998,970929,30/08/2011,Carté-MG
"",CIMED INDÚSTRIA DE,,,,,,
VALERIMED 50 MG COMP. 2 X 10,MEDICAMENTOS LTDA,4941/10,720,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,
VALIUM 10mg,FARMACÊUTICOS S.A,RJ0396,160,69006,964/2011,28/01/2011,Ap. de Goiânia - GO
"",,,,,,,Itinerário entre a Distribuidora
"",,RJ0357,6,3208,Declaração de Sinistro,,
"VASCASE 2,5MG 14 CLAQ",,,,,,,Profarma - Recife ao site de
(CILAZAPRIL),PRODUTOS ROCHE,,,,,24/08/2011,Distribuição Roche - GO
"",,,,,,,Itinerário entre a Distribuidora
"",,RJ0357,1,3181,Declaração de Sinistro,,
"VASCASE 2,5MG CLAQ 14",,,,,,,Profarma - Recife ao site de
(CILAZAPRIL),PRODUTOS ROCHE,,,,,24/08/2011,Distribuição Roche - GO
"",,,,,,,Itinerário entre a Distribuidora
"",,RJ0357,10,3229,Declaração de Sinistro,,
"VASCASE 2,5MG CLAQ 14",,,,,,,Profarma - Recife ao site de
(CILAZAPRIL),PRODUTOS ROCHE,,,,,24/08/2011,Distribuição Roche - GO
"",MARJAN INDÚSTRIA E COMÉRCIO,,,,,,
VECASTEN,LTDA,10113994,100,26672,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
VENORUTON 500MG 20 CP,NOVARTIS BIOCIÊNCIAS S/A,Z0031,100,271421,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,CONCEIÇÃO DO JACUIPE -
VERUTEX (ACIDO FUSIDICO),,EE9351,200,2097,"5,82011E+11",29/11/2011,
"",FARMACÊUTICOS S.A,,,,,,BA
"",,,,,,,CONCEIÇÃO DO JACUIPE -
"",,EE9351,200,2097*,582011000380,29/11/2011,
VERUTEX (ÁCIDO FUSÍDICO),PROD. ROCHE,,,,,,BA
VERUTEX B (ÁCIDO FUSÍDICO +,,,,,,,CONCEIÇÃO DO JACUIPE -
"",,EF0896,70,2097*,582011000380,29/11/2011,
VALERATO DE BETAMETASONA),PROD. ROCHE,,,,,,BA
VERUTEX B (ACIDO FUSIDICO +,PRODUTOS ROCHE QUÍMICOS E,,,,,,CONCEIÇÃO DO JACUIPE -
"",,EF0896,70,2097,"5,82011E+11",29/11/2011,
VELERATO DE BETAMETASONA),FARMACÊUTICOS S.A,,,,,,BA
"",PRODUTOS ROCHE QUÍMICOS E,,,,525548-893682011-,,
VERUTEX B Creme 15g,FARMACÊUTICOS S.A,EE3068,100,000.000.086,000272934-001,14/02/2011,Governador Valadares - MG
"",PRODUTOS ROCHE QUÍMICOS E,,,,525548-893682011-,,
VERUTEX Creme 15g,FARMACÊUTICOS S.A,EE0769,100,000.000.086,000272934-001,14/02/2011,Governador Valadares - MG
